Timestamp,How certain about your guess are you?,What was the outcome?
28/03/2024 09:24:52,6,Guessed wrong
28/03/2024 09:24:52,0,Guessed wrong
28/03/2024 09:24:53,7,Guessed right
28/03/2024 09:24:53,4,Guessed right
28/03/2024 09:24:55,5,Guessed right
28/03/2024 09:24:55,7,Guessed wrong
28/03/2024 09:24:55,4,Guessed wrong
28/03/2024 09:24:56,3,Guessed wrong
28/03/2024 09:24:57,9,Guessed right
28/03/2024 09:24:57,4,Guessed wrong
28/03/2024 09:24:58,8,Guessed right
28/03/2024 09:25:03,8,Guessed right
28/03/2024 09:25:08,9,Guessed right
28/03/2024 09:25:10,9,Guessed right
28/03/2024 09:25:10,6,Guessed right
28/03/2024 09:25:10,8,Guessed wrong
28/03/2024 09:25:10,10,Guessed right
28/03/2024 09:25:11,10,Guessed right
28/03/2024 09:25:11,5,Guessed right
28/03/2024 09:25:11,2,Guessed right
28/03/2024 09:25:11,3,Guessed wrong
28/03/2024 09:25:12,7,Guessed right
28/03/2024 09:25:12,8,Guessed wrong
28/03/2024 09:25:14,6,Guessed wrong
28/03/2024 09:25:14,3,Guessed wrong
28/03/2024 09:25:21,3,Guessed right
28/03/2024 09:25:24,7,Guessed right
28/03/2024 09:25:24,4,Guessed right
28/03/2024 09:25:25,10,Guessed right
28/03/2024 09:25:25,8,Guessed right
28/03/2024 09:25:25,9,Guessed right
28/03/2024 09:25:26,3,Guessed right
28/03/2024 09:25:26,10,Guessed right
28/03/2024 09:25:26,3,Guessed wrong
28/03/2024 09:25:27,8,Guessed right
28/03/2024 09:25:27,6,Guessed right
28/03/2024 09:25:28,7,Guessed wrong
28/03/2024 09:25:29,8,Guessed right
28/03/2024 09:25:29,6,Guessed wrong
28/03/2024 09:25:28,9,Guessed wrong
28/03/2024 09:25:41,10,Guessed right
28/03/2024 09:25:41,7,Guessed right
28/03/2024 09:25:42,6,Guessed right
28/03/2024 09:25:42,6,Guessed right
28/03/2024 09:25:42,8,Guessed right
28/03/2024 09:25:43,7,Guessed wrong
28/03/2024 09:25:43,9,Guessed right
28/03/2024 09:25:43,8,Guessed right
28/03/2024 09:25:43,10,Guessed right
28/03/2024 09:25:44,7,Guessed wrong
28/03/2024 09:25:45,10,Guessed right
28/03/2024 09:25:45,5,Guessed wrong
28/03/2024 09:25:45,5,Guessed right
28/03/2024 09:25:45,6,Guessed wrong
28/03/2024 09:25:55,3,Guessed right
28/03/2024 09:25:55,10,Guessed right
28/03/2024 09:25:55,10,Guessed right
28/03/2024 09:25:55,10,Guessed right
28/03/2024 09:25:56,3,Guessed right
28/03/2024 09:25:57,5,Guessed wrong
28/03/2024 09:25:58,8,Guessed wrong
28/03/2024 09:25:58,5,Guessed right
28/03/2024 09:25:58,4,Guessed right
28/03/2024 09:25:58,7,Guessed wrong
28/03/2024 09:25:59,7,Guessed wrong
28/03/2024 09:25:59,5,Guessed right
28/03/2024 09:26:00,8,Guessed right
28/03/2024 09:26:00,10,Guessed right
28/03/2024 09:26:25,8,Guessed right
28/03/2024 09:26:26,9,Guessed right
28/03/2024 09:26:26,6,Guessed wrong
28/03/2024 09:26:27,5,Guessed wrong
28/03/2024 09:26:27,6,Guessed right
28/03/2024 09:26:27,4,Guessed wrong
28/03/2024 09:26:28,9,Guessed wrong
28/03/2024 09:26:29,4,Guessed right
28/03/2024 09:26:29,3,Guessed right
28/03/2024 09:26:29,1,Guessed wrong
28/03/2024 09:26:29,0,Guessed wrong
28/03/2024 09:26:30,10,Guessed right
28/03/2024 09:26:30,7,Guessed right
28/03/2024 09:26:32,6,Guessed wrong
28/03/2024 09:26:33,8,Guessed wrong
28/03/2024 09:26:46,9,Guessed right
28/03/2024 09:26:47,10,Guessed right
28/03/2024 09:26:49,7,Guessed wrong
28/03/2024 09:26:49,7,Guessed wrong
28/03/2024 09:26:49,1,Guessed wrong
28/03/2024 09:26:49,7,Guessed right
28/03/2024 09:26:50,7,Guessed right
28/03/2024 09:26:50,8,Guessed wrong
28/03/2024 09:26:50,5,Guessed wrong
28/03/2024 09:26:50,6,Guessed wrong
28/03/2024 09:26:50,7,Guessed wrong
28/03/2024 09:26:53,5,Guessed wrong
28/03/2024 09:26:53,7,Guessed wrong
28/03/2024 09:26:54,8,Guessed wrong
28/03/2024 09:27:33,1,Guessed wrong
28/03/2024 09:27:36,6,Guessed right
28/03/2024 09:27:37,0,Guessed wrong
28/03/2024 09:27:37,4,Guessed wrong
28/03/2024 09:27:37,8,Guessed right
28/03/2024 09:27:37,5,Guessed right
28/03/2024 09:27:38,5,Guessed wrong
28/03/2024 09:27:38,8,Guessed right
28/03/2024 09:27:39,5,Guessed wrong
28/03/2024 09:27:41,7,Guessed wrong
28/03/2024 09:27:40,1,Guessed wrong
28/03/2024 09:27:49,7,Guessed wrong
28/03/2024 09:27:51,8,Guessed right
28/03/2024 09:27:55,0,Guessed wrong
28/03/2024 09:28:30,10,Guessed right
28/03/2024 09:28:38,10,Guessed right
28/03/2024 09:28:39,8,Guessed wrong
28/03/2024 09:28:39,8,Guessed right
28/03/2024 09:28:39,4,Guessed wrong
28/03/2024 09:28:39,6,Guessed right
28/03/2024 09:28:40,7,Guessed wrong
28/03/2024 09:28:40,8,Guessed right
28/03/2024 09:28:40,8,Guessed wrong
28/03/2024 09:28:41,5,Guessed wrong
28/03/2024 09:28:41,7,Guessed wrong
28/03/2024 09:28:42,8,Guessed wrong
28/03/2024 09:28:46,0,Guessed wrong
